name,addr,latitude,longitude
꿀풀,강원특별자치도 인제군 삼형제봉,38.0986667,128.3198167
참취,강원특별자치도 정선군 금대봉,37.2118179,128.9159999
곰취,강원특별자치도 정선군 금대봉,37.2118179,128.9159999
제비쑥,강원특별자치도 정선군 금대봉,37.2118179,128.9159999
꿀풀,강원특별자치도 정선군 금대봉,37.2118179,128.9159999
메밀,강원특별자치도 정선군 노목산,37.2544475,128.8457089
참취,강원특별자치도 정선군 노목산,37.2544475,128.8457089
꿀풀,강원특별자치도 정선군 노목산,37.2544475,128.8457089
제비쑥,강원특별자치도 정선군 두위봉,37.20708888871626,128.71134315537924
참취,강원특별자치도 정선군 함백산,37.1571928,128.9023497
곰취,강원특별자치도 정선군 함백산,37.1571928,128.9023497
제비쑥,강원특별자치도 정선군 함백산,37.1571928,128.9023497
꿀풀,강원특별자치도 정선군 함백산,37.1571928,128.9023497
참취,강원특별자치도 정선군 가리왕산,37.42577381697157,128.57847293624468
곰취,강원특별자치도 정선군 가리왕산,37.42577381697157,128.57847293624468
참취,강원특별자치도 철원군 금학산,38.1857386,127.2007779
꿀풀,강원특별자치도 철원군 금학산,38.1857386,127.2007779
참취,강원특별자치도 철원군 명성산,38.1042997,127.3381489
곰취,강원특별자치도 철원군 명성산,38.1042997,127.3381489
꿀풀,강원특별자치도 철원군 명성산,38.1042997,127.3381489
꿀풀,강원특별자치도 춘천시 응봉,38.0000278,127.5405556
참취,강원특별자치도 춘천시 대룡산,37.8450512,127.821137
메밀,강원특별자치도 춘천시 죽엽산,38.0521448,127.8551016
참취,강원특별자치도 태백시 연화산,37.15856,129.00565
꿀풀,강원특별자치도 태백시 연화산,37.15856,129.00565
가시오갈피,강원특별자치도 태백시 태백산,37.0963949,128.9165488
참취,강원특별자치도 태백시 태백산,37.0963949,128.9165488
곰취,강원특별자치도 태백시 태백산,37.0963949,128.9165488
꿀풀,강원특별자치도 태백시 태백산,37.0963949,128.9165488
참취,강원특별자치도 평창군 금당산,37.541073,128.414746
꿀풀,강원특별자치도 평창군 금당산,37.541073,128.414746
참취,강원특별자치도 평창군 오대산,37.6425685,128.5748224
곰취,강원특별자치도 평창군 오대산,37.6425685,128.5748224
메밀,강원특별자치도 평창군 청옥산,37.4103689,128.5083425
꿀풀,강원특별자치도 평창군 청옥산,37.4103689,128.5083425
참취,강원특별자치도 평창군 청태산,37.5114399,128.3012577
곰취,강원특별자치도 평창군 청태산,37.5114399,128.3012577
제비쑥,강원특별자치도 평창군 청태산,37.5114399,128.3012577
꿀풀,강원특별자치도 평창군 청태산,37.5114399,128.3012577
