name,addr
메밀,경기도 광주시 태화산
참취,경기도 광주시 태화산
참취,경기도 광주시 해협산
메밀,경기도 김포시 문수산
꿀풀,경기도 안성시 덕성산
참취,경기도 안성시 서운산
담배풀,경기도 안성시 서운산
꿀풀,경기도 안양시 삼성산
제비쑥,경기도 양주시 감악산
꿀풀,경기도 양주시 감악산
참취,경기도 양평군 비룡산
꿀풀,경기도 양평군 비룡산
넉줄고사리,경기도 양평군 용문산
꿀풀,경기도 양평군 용문산
넉줄고사리,경기도 양평군 중원산
담배풀,경기도 양평군 중원산
참취,경기도 여주시 소달산
제비쑥,경기도 여주시 소달산
꿀풀,경기도 여주시 소달산
메밀,경기도 여주시 양자산
참취,경기도 여주시 양자산
꿀풀,경기도 여주시 양자산
참취,경기도 여주시 우두산
꿀풀,경기도 여주시 우두산
메밀,경기도 연천군 동막골
참취,경기도 연천군 동막골
꿀풀,경기도 연천군 동막골
참취,경기도 연천군 백학저수지
제비쑥,경기도 연천군 백학저수지
꿀풀,경기도 연천군 백학저수지
참취,경기도 용인시 광교산
메밀,경기도 용인시 노고봉
참취,경기도 용인시 노고봉
꿀풀,경기도 용인시 노고봉
참취,경기도 용인시 백운산
꿀풀,경기도 용인시 백운산
참취,경기도 용인시 시궁산
참취,경기도 이천시 마옥산
꿀풀,경기도 이천시 마옥산
참취,경기도 이천시 백족산
꿀풀,경기도 이천시 백족산
참취,경기도 이천시 원적봉
꿀풀,경기도 이천시 원적봉
참취,경기도 파주시 개명산
참취,경기도 파주시 기간봉
참취,경기도 파주시 심학산
꿀풀,경기도 파주시 심학산
넉줄고사리,경기도 파주시 파평산
참취,경기도 파주시 파평산
제비쑥,경기도 파주시 파평산
꿀풀,경기도 파주시 파평산
참취,경기도 포천시 광덕산
제비쑥,경기도 포천시 광덕산
꿀풀,경기도 포천시 광덕산
참취,경기도 포천시 왕방산
제비쑥,경기도 포천시 왕방산
꿀풀,경기도 포천시 왕방산
참취,경기도 포천시 죽엽산
제비쑥,경기도 포천시 죽엽산
꿀풀,경기도 포천시 죽엽산
꿀풀,경기도 포천시 지장봉
꿀풀,경기도 화성시 동탄
넉줄고사리,경기도 화성시 제부도
제비쑥,경기도 남양주시 천마산
꿀풀,경기도 남양주시 천마산
참취,경기도 남양주시 축령산
곰취,경기도 남양주시 축령산
꿀풀,경기도 남양주시 축령산
넉줄고사리,경기도 동두천시 소요산
참취,경기도 동두천시 소요산
곰취,경기도 동두천시 소요산
제비쑥,경기도 동두천시 소요산
꿀풀,경기도 동두천시 소요산
참취,경기도 의정부시 천보산
담배풀,경상남도 거제시 앵산
참취,경상남도 거제시 산방산
꿀풀,경상남도 거제시 산방산
넉줄고사리,"경상남도 거제시 남부면,망산"
넉줄고사리,경상남도 남해군 금산
참취,경상남도 남해군 금산
넉줄고사리,경상남도 남해군 망운산
참취,경상남도 남해군 망운산
제비쑥,경상남도 남해군 망운산
넉줄고사리,경상남도 남해군 응봉산
참취,경상남도 남해군 응봉산
넉줄고사리,경상남도 남해군 호구산
참취,경상남도 남해군 호구산
메밀,경상남도 사천시 와룡산
참취,경상남도 사천시 와룡산
담배풀,경상남도 사천시 와룡산
참취,경상남도 산청군 지리산
넉줄고사리,경상남도 통영시 벽방산
제비쑥,경상남도 통영시 벽방산
꿀풀,경상남도 통영시 벽방산
넉줄고사리,경상남도 하동군 금오산
참취,경상남도 하동군 금오산
제비쑥,경상남도 하동군 금오산
꿀풀,경상남도 하동군 칠성봉
메밀,경상남도 함양군 괘관산
참취,경상남도 함양군 괘관산
제비쑥,경상남도 함양군 괘관산
꿀풀,경상남도 함양군 괘관산
참취,경상남도 함양군 법화산
메밀,경상남도 함양군 지리산
넉줄고사리,경상남도 함양군 지리산
참취,경상남도 함양군 지리산
담배풀,경상남도 함양군 지리산
제비쑥,경상남도 함양군 지리산
꿀풀,경상남도 함양군 지리산
참취,경상남도 함양군 황석산
꿀풀,경상남도 함양군 황석산
제비쑥,경상남도 합천군 가야산
넉줄고사리,경상북도 경산시 팔공산
참취,경상북도 경산시 팔공산
제비쑥,경상북도 경산시 팔공산
꿀풀,경상북도 경산시 팔공산
참취,경상북도 경주시 구미산
참취,경상북도 경주시 단석산
제비쑥,경상북도 경주시 단석산
꿀풀,경상북도 경주시 단석산
참취,경상북도 경주시 어래산
제비쑥,경상북도 경주시 어래산
꿀풀,경상북도 경주시 토함산
참취,경상북도 구미시 청화산
꿀풀,경상북도 구미시 청화산
참취,경상북도 대구광역시 화산
꿀풀,경상북도 대구광역시 화산
참취,경상북도 대구광역시 매봉산
꿀풀,경상북도 대구광역시 매봉산
참취,경상북도 대구광역시 팔공산
꿀풀,경상북도 대구광역시 팔공산
참취,경상북도 김천시 대덕산
곰취,경상북도 김천시 수도산
담배풀,경상북도 김천시 황학산
곰취,경상북도 김천시 황학산
꿀풀,경상북도 김천시 황학산
메밀,경상북도 문경시 국사봉
참취,경상북도 문경시 국사봉
제비쑥,경상북도 문경시 국사봉
꿀풀,경상북도 문경시 국사봉
메밀,경상북도 문경시 대야산
참취,경상북도 문경시 대야산
꿀풀,경상북도 문경시 대야산
참취,경상북도 문경시 백화산
꿀풀,경상북도 문경시 백화산
참취,경상북도 문경시 운달산
담배풀,경상북도 문경시 운달산
꿀풀,경상북도 문경시 운달산
메밀,경상북도 문경시 주흘산
담배풀,경상북도 문경시 주흘산
제비쑥,경상북도 문경시 주흘산
꿀풀,경상북도 문경시 주흘산
넉줄고사리,경상북도 문경시 황장산
참취,경상북도 문경시 황장산
곰취,경상북도 문경시 황장산
제비쑥,경상북도 문경시 황장산
꿀풀,경상북도 문경시 황장산
참취,경상북도 봉화군 문수산
꿀풀,경상북도 봉화군 문수산
꿀풀,경상북도 봉화군 장군봉
메밀,경상북도 봉화군 청옥산
참취,경상북도 봉화군 청옥산
곰취,경상북도 봉화군 청옥산
꿀풀,경상북도 봉화군 청옥산
넉줄고사리,경상북도 봉화군 청량산
참취,경상북도 봉화군 청량산
꿀풀,경상북도 봉화군 청량산
메밀,경상북도 상주시 남산
참취,경상북도 상주시 남산
제비쑥,경상북도 상주시 남산
꿀풀,경상북도 상주시 남산
참취,경상북도 상주시 갑장산
제비쑥,경상북도 상주시 갑장산
꿀풀,경상북도 상주시 갑장산
메밀,경상북도 상주시 속리산
참취,경상북도 상주시 속리산
꿀풀,경상북도 상주시 속리산
참취,경상북도 상주시 포성봉
제비쑥,경상북도 상주시 포성봉
꿀풀,경상북도 상주시 포성봉
참취,경상북도 안동시 약산
꿀풀,경상북도 안동시 약산
제비쑥,경상북도 안동시 갈라산
꿀풀,경상북도 안동시 갈라산
참취,경상북도 안동시 마늘봉
꿀풀,경상북도 안동시 마늘봉
참취,경상북도 안동시 연점산
참취,경상북도 안동시 와룡산
꿀풀,경상북도 안동시 포대봉
메밀,경상북도 안동시 학가산
제비쑥,경상북도 안동시 학가산
꿀풀,경상북도 안동시 학가산
참취,경상북도 영덕군 대둔산
꿀풀,경상북도 영덕군 대둔산
넉줄고사리,경상북도 영덕군 바데산
참취,경상북도 영덕군 바데산
참취,경상북도 영덕군 칠보산
꿀풀,경상북도 영덕군 칠보산
참취,경상북도 영양군 검마산
참취,경상북도 영양군 맹동산
제비쑥,경상북도 영양군 맹동산
꿀풀,경상북도 영양군 맹동산
메밀,경상북도 영양군 백암산
참취,경상북도 영양군 백암산
참취,경상북도 영양군 울련산
제비쑥,경상북도 영양군 울련산
참취,경상북도 영양군 일월산
참취,"경상북도 영주시 소백산,마구령"
꿀풀,"경상북도 영주시 소백산,비로봉"
참취,"경상북도 영주시 소백산,연화봉"
곰취,"경상북도 영주시 소백산,연화봉"
꿀풀,"경상북도 영주시 소백산,연화봉"
메밀,"경상북도 영주시 소백산,원적봉"
꿀풀,"경상북도 영주시 소백산,원적봉"
참취,"경상북도 영주시 소백산,자개봉"
꿀풀,"경상북도 영주시 소백산,자개봉"
참취,"경상북도 영주시 소백산,형제봉"
곰취,"경상북도 영주시 소백산,형제봉"
꿀풀,"경상북도 영주시 소백산,참신내기재"
참취,경상북도 영천시 화산
꿀풀,경상북도 영천시 화산
참취,경상북도 영천시 보현산
메밀,경상북도 영천시 운주산
참취,경상북도 영천시 운주산
꿀풀,경상북도 영천시 운주산
넉줄고사리,경상북도 예천군 가재봉
참취,경상북도 예천군 가재봉
참취,경상북도 예천군 국사봉
꿀풀,경상북도 예천군 보문산
메밀,경상북도 예천군 학가산
참취,경상북도 예천군 학가산
꿀풀,경상북도 예천군 학가산
담배풀,경상북도 울릉군 옥녀봉
메밀,경상북도 울진군 오미산
참취,경상북도 울진군 오미산
제비쑥,경상북도 울진군 오미산
넉줄고사리,경상북도 울진군 응봉산
참취,경상북도 울진군 응봉산
꿀풀,경상북도 울진군 응봉산
참취,경상북도 울진군 통고산
꿀풀,경상북도 울진군 통고산
참취,경상북도 의성군 비봉산
제비쑥,경상북도 의성군 비봉산
꿀풀,경상북도 의성군 비봉산
꿀풀,경상북도 의성군 선암산
참취,경상북도 의성군 황학산
꿀풀,경상북도 의성군 황학산
참취,경상북도 청도군 구룡산
꿀풀,경상북도 청도군 구룡산
넉줄고사리,경상북도 청도군 선의산
참취,경상북도 청도군 운문산
곰취,경상북도 청도군 운문산
넉줄고사리,경상북도 청도군 화악산
참취,경상북도 청도군 화악산
제비쑥,경상북도 청도군 화악산
꿀풀,경상북도 청송군 보현산
제비쑥,경상북도 포항시 북구 내연산
꿀풀,경상북도 포항시 북구 내연산
참취,경상북도 포항시 북구 자초산
제비쑥,경상북도 포항시 북구 자초산
꿀풀,경상북도 포항시 북구 자초산
참취,경상북도 포항시 북구 천령산
참취,경상북도 포항시 북구 침곡산
꿀풀,경상북도 포항시 북구 침곡산
참취,경상북도 포항시 북구 향로봉
넉줄고사리,대구광역시 달성군 비슬산
참취,대구광역시 달성군 비슬산
곰취,대구광역시 달성군 비슬산
제비쑥,대구광역시 달성군 비슬산
꿀풀,대구광역시 달성군 비슬산
제비쑥,전라남도 고흥군 유주산
담배풀,전라남도 고흥군 천등산
참취,전라남도 고흥군 팔영산
참취,전라남도 곡성군 고장산
넉줄고사리,전라남도 광양시 백운산
참취,전라남도 광양시 백운산
제비쑥,전라남도 광양시 백운산
꿀풀,전라남도 광양시 백운산
꿀풀,전라남도 광양시 국사봉1
꿀풀,전라남도 광양시 국사봉2
메밀,전라남도 광양시 구봉화산
넉줄고사리,전라남도 광양시 구봉화산
참취,전라남도 광양시 구봉화산
제비쑥,전라남도 광양시 구봉화산
꿀풀,전라남도 광양시 구봉화산
꿀풀,전라남도 구례군 계족산
꿀풀,전라남도 구례군 도솔봉
메밀,전라남도 구례군 백운산
넉줄고사리,전라남도 구례군 백운산
참취,전라남도 구례군 백운산
꿀풀,전라남도 구례군 백운산
담배풀,전라남도 구례군 지리산
곰취,전라남도 구례군 지리산
제비쑥,전라남도 구례군 지리산
꿀풀,전라남도 구례군 지리산
참취,전라남도 구례군 천왕봉
참취,전라남도 나주시 국사봉
메밀,전라남도 담양군 담양호
참취,전라남도 담양군 병풍산
메밀,전라남도 담양군 추월산
참취,전라남도 담양군 추월산
참취,전라남도 보성군 존제산
참취,전라남도 보성군 활성산
제비쑥,전라남도 보성군 활성산
참취,전라남도 순천시 병풍산
꿀풀,전라남도 순천시 오봉산
참취,전라남도 순천시 조계산
담배풀,전라남도 순천시 조계산
곰취,전라남도 순천시 조계산
꿀풀,전라남도 순천시 조계산
꿀풀,전라남도 신안군 예리
넉줄고사리,전라남도 신안군 깃대봉
참취,전라남도 신안군 승봉산
넉줄고사리,전라남도 여수시 금오산
참취,전라남도 여수시 금오산
봉선화,전라남도 여수시 금오산
담배풀,전라남도 여수시 불탄봉
담배풀,전라남도 여수시 수월산
넉줄고사리,전라남도 영광군 불갑산
넉줄고사리,전라남도 장성군 백양산
넉줄고사리,전라남도 장성군 입암산
참취,전라남도 장흥군 수인산
담배풀,전라남도 장흥군 수인산
꿀풀,전라남도 장흥군 수인산
제비쑥,전라남도 장흥군 제암산
넉줄고사리,전라남도 장흥군 천관산
담배풀,전라남도 해남군 일성산
꿀풀,전라남도 해남군 일성산
참취,전라남도 화순군 두봉산
참취,전라남도 화순군 백아산
넉줄고사리,전북특별자치도 김제시 모악산
참취,전북특별자치도 남원시 교룡산
꿀풀,전북특별자치도 남원시 구룡계곡
참취,전북특별자치도 무주군 덕유산
곰취,전북특별자치도 무주군 덕유산
제비쑥,전북특별자치도 무주군 덕유산
꿀풀,전북특별자치도 무주군 덕유산
메밀,전북특별자치도 무주군 백운산
참취,전북특별자치도 무주군 백운산
제비쑥,전북특별자치도 무주군 백운산
메밀,전북특별자치도 무주군 조항산
참취,전북특별자치도 무주군 조항산
꿀풀,전북특별자치도 무주군 조항산
넉줄고사리,전북특별자치도 부안군 위도
참취,전북특별자치도 부안군 위도
꿀풀,전북특별자치도 부안군 위도
참취,전북특별자치도 부안군 신선봉
참취,전북특별자치도 부안군 의상봉
꿀풀,전북특별자치도 부안군 의상봉
참취,"전북특별자치도 부안군 상서면,옥녀봉"
참취,"전북특별자치도 부안군 갑남산,모항해수욕장"
넉줄고사리,전북특별자치도 완주군 대둔산
꿀풀,전북특별자치도 완주군 대둔산
꿀풀,전북특별자치도 임실군 백련산
참취,전북특별자치도 임실군 성수산
꿀풀,전북특별자치도 임실군 성수산
메밀,전북특별자치도 장수군 묘복산
참취,전북특별자치도 장수군 묘복산
제비쑥,전북특별자치도 장수군 묘복산
꿀풀,전북특별자치도 장수군 묘복산
메밀,전북특별자치도 장수군 영구산
참취,전북특별자치도 장수군 영구산
꿀풀,전북특별자치도 장수군 영구산
참취,전북특별자치도 장수군 장안산
곰취,전북특별자치도 장수군 장안산
제비쑥,전북특별자치도 장수군 장안산
꿀풀,전북특별자치도 장수군 장안산
참취,전북특별자치도 정읍시 내장산
꿀풀,전북특별자치도 진안군 덕태산
꿀풀,전북특별자치도 진안군 마이산
꿀풀,전북특별자치도 진안군 운장산
참취,전북특별자치도 진안군 지장산
제비쑥,전북특별자치도 진안군 지장산
참취,충청남도 공주시 천봉
제비쑥,충청남도 공주시 천봉
메밀,충청남도 공주시 계룡산
넉줄고사리,충청남도 공주시 계룡산
참취,충청남도 공주시 계룡산
제비쑥,충청남도 공주시 계룡산
꿀풀,충청남도 공주시 계룡산
참취,충청남도 공주시 묵방산
꿀풀,충청남도 공주시 묵방산
메밀,충청남도 공주시 국사봉1
참취,충청남도 공주시 국사봉2
참취,충청남도 금산군 덕기봉
꿀풀,충청남도 금산군 서대산
참취,충청남도 당진시 아미산
참취,충청남도 당진시 은봉산
제비쑥,충청남도 당진시 은봉산
넉줄고사리,충청남도 보령시 성주산
꿀풀,충청남도 보령시 성주산
참취,충청남도 보령시 오서산
담배풀,충청남도 보령시 오서산
제비쑥,충청남도 보령시 오서산
꿀풀,충청남도 보령시 오서산
참취,충청남도 아산시 광덕산
참취,충청남도 예산군 덕봉산
메밀,충청남도 천안시 광덕산
꿀풀,충청남도 천안시 광덕산
꿀풀,충청남도 천안시 은석산
꿀풀,충청남도 청양군 칠갑산
꿀풀,충청남도 태안군 철마산
메밀,충청남도 홍성군 일월산
참취,충청남도 홍성군 일월산
꿀풀,충청남도 홍성군 일월산
참취,충청남도 홍성군 청룡산
꿀풀,충청남도 홍성군 청룡산
참취,충청북도 괴산군 청화산
제비쑥,충청북도 괴산군 청화산
참취,충청북도 괴산군 큰군자산
제비쑥,충청북도 괴산군 큰군자산
메밀,충청북도 단양군 가창산
꿀풀,충청북도 단양군 가창산
메밀,충청북도 단양군 수리봉
꿀풀,충청북도 단양군 수리봉
메밀,충청북도 단양군 태화산
참취,충청북도 단양군 태화산
꿀풀,충청북도 단양군 태화산
메밀,"충청북도 단양군 소백산,도솔봉"
참취,"충청북도 단양군 소백산,비로봉"
제비쑥,"충청북도 단양군 소백산,비로봉"
꿀풀,"충청북도 단양군 소백산,비로봉"
넉줄고사리,"충청북도 단양군 소백산,형제봉"
참취,"충청북도 단양군 소백산,형제봉"
꿀풀,"충청북도 단양군 소백산,형제봉"
참취,충청북도 보은군 국사봉
참취,충청북도 보은군 속리산
참취,충청북도 영동군 백마산
참취,충청북도 영동군 지장산
넉줄고사리,충청북도 영동군 천태산
참취,충청북도 영동군 민주지산
꿀풀,충청북도 영동군 민주지산
참취,충청북도 옥천군 관모봉
꿀풀,충청북도 옥천군 관모봉
꿀풀,충청북도 제천시 국사봉
메밀,충청북도 제천시 금수산
넉줄고사리,충청북도 제천시 금수산
참취,충청북도 제천시 금수산
꿀풀,충청북도 제천시 금수산
메밀,충청북도 제천시 백운산
참취,충청북도 제천시 백운산
꿀풀,충청북도 제천시 백운산
메밀,충청북도 제천시 석기암
참취,충청북도 제천시 석기암
꿀풀,충청북도 제천시 석기암
참취,"충청북도 제천시 월악산,영봉"
곰취,"충청북도 제천시 월악산,영봉"
꿀풀,"충청북도 제천시 월악산,영봉"
메밀,"충청북도 제천시 월악산,문수봉"
참취,"충청북도 제천시 월악산,문수봉"
꿀풀,"충청북도 제천시 월악산,문수봉"
참취,세종특별자치시 부강면 노고봉
참취,충청북도 청주시 동림산
담배풀,충청북도 청주시 선두산
참취,충청북도 충주시 계명산
꿀풀,충청북도 충주시 계명산
제비쑥,충청북도 충주시 보련산
꿀풀,충청북도 충주시 보련산
참취,광주광역시 동구 무등산
넉줄고사리,광주광역시 광산구 용진산
넉줄고사리,대구광역시 수성구 대덕산
참취,대구광역시 수성구 대덕산
꿀풀,대구광역시 수성구 대덕산
참취,대전광역시 동구 만인산
참취,대전광역시 동구 식장산
메밀,대전광역시 대덕구 계족산
넉줄고사리,대전광역시 대덕구 계족산
넉줄고사리,"서울특별시 도봉구 북한산,만장봉"
넉줄고사리,서울특별시 은평구 북한산
메밀,인천광역시 서구 철마산
제비쑥,인천광역시 중구 백운산
꿀풀,인천광역시 강화군 고려산
넉줄고사리,인천광역시 강화군 마니산
담배풀,인천광역시 강화군 마니산
꿀풀,인천광역시 강화군 마니산
참취,인천광역시 옹진군 대청도
제비쑥,인천광역시 옹진군 대청도
참취,인천광역시 옹진군 덕적도
꿀풀,인천광역시 옹진군 연평도
꿀풀,인천광역시 옹진군 장봉도
참취,경상남도 거제시 가조도
꿀풀,경상남도 거제시 가조도
참취,경상남도 거창군 감악산
제비쑥,경상남도 거창군 감악산
꿀풀,경상남도 거창군 감악산
참취,경상남도 거창군 남덕유산
꿀풀,경상남도 거창군 남덕유산
참취,경상남도 거창군 단지봉
꿀풀,경상남도 거창군 단지봉
참취,경상남도 거창군 호음산
꿀풀,경상남도 거창군 호음산
메밀,경상남도 남해군 창선도
넉줄고사리,경상남도 남해군 창선도
참취,경상남도 남해군 창선도
꿀풀,경상남도 남해군 창선도
참취,경상남도 밀양시 금오산
제비쑥,경상남도 밀양시 금오산
꿀풀,경상남도 밀양시 금오산
참취,경상남도 밀양시 덕대산
제비쑥,경상남도 밀양시 덕대산
꿀풀,경상남도 밀양시 덕대산
참취,경상남도 밀양시 영취산
참취,경상남도 밀양시 정각산
참취,경상남도 밀양시 제약산
제비쑥,경상남도 밀양시 제약산
참취,경상남도 밀양시 천왕산
제비쑥,경상남도 밀양시 천왕산
참취,경상남도 밀양시 천황산
제비쑥,경상남도 밀양시 천황산
가시오갈피,경상남도 밀양시 화악산
꿀풀,경상남도 밀양시 화악산
참취,경상남도 양산시 가지산
꿀풀,경상남도 양산시 가지산
참취,경상남도 양산시 정족산
꿀풀,경상남도 의령군 국사봉
참취,경상남도 의령군 자굴산
제비쑥,경상남도 의령군 자굴산
꿀풀,경상남도 진주시 장군대산
넉줄고사리,경상남도 창녕군 화왕산
참취,경상남도 창녕군 화왕산
제비쑥,경상남도 창녕군 화왕산
꿀풀,경상남도 창녕군 화왕산
넉줄고사리,경상남도 통영시 미륵도
참취,경상남도 통영시 미륵도
꿀풀,경상남도 통영시 미륵도
넉줄고사리,경상남도 통영시 미륵산
